x,y,z,T,tSol,G,V,Gx,Gy,Gz,dTdt,eqFrac,numMelt
0,-8.2e-05,-1.00125e-05,481.216,0.000400799,9.01202e+06,0.0148605,0.499705,0.859809,0.104986,133923,4.98316e-06,1
0,-8.2e-05,-7.50939e-06,481.288,0.000409996,8.92306e+06,0.0198278,0.512975,0.854827,0.0782832,176925,6.84971e-06,1
0,-8.2e-05,-5.00626e-06,481.34,0.000416361,8.85983e+06,0.0231349,0.522011,0.851354,0.0519768,204971,8.16447e-06,1
0,-8.2e-05,-2.50313e-06,481.371,0.000420101,8.8221e+06,0.0250308,0.527265,0.849306,0.0259259,220824,8.94738e-06,1
0,-8.2e-05,0,481.381,0.000421335,8.80956e+06,0.0256487,0.528989,0.848629,0,225954,9.20747e-06,1
0,-8e-05,-2.0025e-05,481.255,0.000405717,8.96483e+06,0.017545,0.506832,0.836245,0.209323,157288,5.97677e-06,1
0,-8e-05,-1.75219e-05,481.409,0.000424647,8.7757e+06,0.0272899,0.533596,0.826156,0.180948,239488,9.91049e-06,1
0,-8e-05,-1.50188e-05,481.543,0.000439914,8.61605e+06,0.034533,0.554422,0.817947,0.153557,297538,1.32509e-05,1
0,-8e-05,-1.25156e-05,481.656,0.000451348,8.49565e+06,0.0396835,0.569741,0.811948,0.127026,337137,1.58839e-05,1
0,-8e-05,-1.00125e-05,481.749,0.000457572,8.43891e+06,0.0425643,0.578538,0.809341,0.101294,359196,1.73829e-05,1
0,-8e-05,-7.50939e-06,481.821,0.000462304,8.39535e+06,0.04471,0.585173,0.807359,0.0757847,375356,1.85449e-05,1
0,-8e-05,-5.00626e-06,481.872,0.000465627,8.36457e+06,0.0461946,0.589806,0.805968,0.0504361,386398,1.9373e-05,1
0,-8e-05,-2.50313e-06,481.903,0.000467599,8.34624e+06,0.0470671,0.592544,0.805144,0.0251922,392833,1.98692e-05,1
0,-8e-05,0,481.914,0.000468253,8.34015e+06,0.0473549,0.59345,0.804871,0,394947,2.00345e-05,1
0,-7.8e-05,-2.50313e-05,481.403,0.000423959,8.78276e+06,0.0269511,0.532642,0.805861,0.258612,236705,9.76385e-06,1
0,-7.8e-05,-2.25282e-05,481.598,0.000446004,8.55095e+06,0.0372848,0.562548,0.794299,0.229411,318820,1.46361e-05,1
0,-7.8e-05,-2.0025e-05,481.774,0.000459227,8.4237e+06,0.0433194,0.580865,0.788431,0.202415,364910,1.77873e-05,1
0,-7.8e-05,-1.75219e-05,481.929,0.000469187,8.33144e+06,0.047765,0.594743,0.784369,0.1762,397951,2.02714e-05,1
0,-7.8e-05,-1.50188e-05,482.063,0.000477487,8.25366e+06,0.0513511,0.606159,0.780997,0.15038,423834,2.24153e-05,1
0,-7.8e-05,-1.25156e-05,482.177,0.000484281,8.18953e+06,0.0542114,0.615409,0.778253,0.124876,443966,2.42241e-05,1
0,-7.8e-05,-1.00125e-05,482.27,0.000489688,8.13828e+06,0.0564428,0.622714,0.776082,0.0996222,459347,2.57007e-05,1
0,-7.8e-05,-7.50939e-06,482.342,0.000493802,8.09919e+06,0.0581151,0.62824,0.774439,0.0745585,470685,2.68471e-05,1
0,-7.8e-05,-5.00626e-06,482.394,0.000496693,8.07169e+06,0.0592776,0.632107,0.77329,0.0496319,478470,2.7665e-05,1
0,-7.8e-05,-2.50313e-06,482.425,0.000498409,8.05536e+06,0.0599627,0.634396,0.772611,0.0247942,483021,2.81553e-05,1
0,-7.8e-05,0,482.436,0.000498978,8.04994e+06,0.060189,0.635154,0.772386,0,484518,2.83187e-05,1
0,-7.6e-05,-3.00375e-05,481.456,0.000430154,8.71876e+06,0.0299617,0.541184,0.782039,0.309086,261229,1.10953e-05,1
0,-7.6e-05,-2.75344e-05,481.693,0.00045385,8.47292e+06,0.0408498,0.573287,0.770355,0.279096,346117,1.64827e-05,1
0,-7.6e-05,-2.50313e-05,481.909,0.000467986,8.34264e+06,0.0472372,0.593079,0.764734,0.251872,394083,1.99668e-05,1
0,-7.6e-05,-2.25282e-05,482.106,0.000480079,8.22924e+06,0.0524499,0.609698,0.75995,0.225267,431623,2.30994e-05,1
0,-7.6e-05,-2.0025e-05,482.282,0.000490373,8.13177e+06,0.0567229,0.623636,0.755915,0.199174,461258,2.58903e-05,1
0,-7.6e-05,-1.75219e-05,482.437,0.000499067,8.04909e+06,0.0602245,0.635272,0.752547,0.173501,484753,2.83443e-05,1
0,-7.6e-05,-1.50188e-05,482.572,0.000505483,7.99286e+06,0.0628498,0.644133,0.750401,0.148291,502350,3.02086e-05,1
0,-7.6e-05,-1.25156e-05,482.686,0.000510678,7.94792e+06,0.0649553,0.651316,0.748722,0.123299,516259,3.17532e-05,1
0,-7.6e-05,-1.00125e-05,482.78,0.000514845,7.91184e+06,0.0666229,0.657054,0.747385,0.0984633,527110,3.3016e-05,1
0,-7.6e-05,-7.50939e-06,482.853,0.000518034,7.88422e+06,0.0678876,0.661433,0.746369,0.0737471,535241,3.39975e-05,1
0,-7.6e-05,-5.00626e-06,482.905,0.000520285,7.86473e+06,0.0687742,0.664518,0.745656,0.0491177,540891,3.46981e-05,1
0,-7.6e-05,-2.50313e-06,482.936,0.000521625,7.85314e+06,0.0692996,0.666352,0.745234,0.0245449,544219,3.51183e-05,1
0,-7.6e-05,0,482.946,0.000522069,7.84929e+06,0.0694737,0.66696,0.745093,0,545319,3.52583e-05,1
0,-7.4e-05,-3.50438e-05,481.414,0.000425218,8.76983e+06,0.02757,0.534386,0.763911,0.361761,241784,1.00323e-05,1
