x,y,z,T,tSol,G,V,Gx,Gy,Gz,dTdt,eqFrac,numMelt
0,-5.8e-05,-1.00125e-05,467.69,0.000202765,1.07306e+07,0.0204457,0.527974,0.836882,0.144471,219395,4.06131e-06,1
0,-5.8e-05,-7.50939e-06,467.806,0.000208803,1.06394e+07,0.00660245,0.553515,0.825945,0.106937,70246,1.34554e-06,1
0,-5.8e-05,-5.00626e-06,467.889,0.000212915,1.05653e+07,0.0236222,0.570252,0.818427,0.0706424,249575,4.9161e-06,1
0,-5.8e-05,-2.50313e-06,467.938,0.000215307,1.05182e+07,0.0330409,0.579745,0.81404,0.0351319,347529,6.96901e-06,1
0,-5.8e-05,0,467.955,0.000216091,1.0502e+07,0.0360584,0.582822,0.8126,0,378687,7.64052e-06,1
0,-5.6e-05,-1.75219e-05,467.746,0.00020573,1.06887e+07,0.00683769,0.540665,0.802855,0.251206,73086,1.37428e-06,1
0,-5.6e-05,-1.50188e-05,467.961,0.000216395,1.04957e+07,0.037216,0.584007,0.784041,0.210274,390609,7.90005e-06,1
0,-5.6e-05,-1.25156e-05,468.143,0.000224621,1.03079e+07,0.0666764,0.615056,0.7695,0.171978,687295,1.49415e-05,1
0,-5.6e-05,-1.00125e-05,468.293,0.000230866,1.01461e+07,0.0868138,0.637316,0.758573,0.135629,880818,2.04001e-05,1
0,-5.6e-05,-7.50939e-06,468.409,0.000235449,1.00183e+07,0.100507,0.65297,0.750665,0.100661,1.0069e+06,2.4533e-05,1
0,-5.6e-05,-5.00626e-06,468.492,0.000238584,9.92695e+06,0.109394,0.663368,0.745321,0.0666298,1.08595e+06,2.7446e-05,1
0,-5.6e-05,-2.50313e-06,468.542,0.000240413,9.87237e+06,0.114408,0.66932,0.742233,0.0331769,1.12947e+06,2.91826e-05,1
0,-5.6e-05,0,468.558,0.000241014,9.85422e+06,0.116029,0.671259,0.741223,0,1.14338e+06,2.976e-05,1
0,-5.4e-05,-2.25282e-05,467.798,0.000208383,1.06465e+07,0.00480573,0.551779,0.769695,0.321107,51164,9.77427e-07,1
0,-5.4e-05,-2.0025e-05,468.079,0.000221791,1.0376e+07,0.0569415,0.604603,0.746829,0.27695,590826,1.25105e-05,1
0,-5.4e-05,-1.75219e-05,468.328,0.000232273,1.01076e+07,0.0911109,0.642182,0.729129,0.236587,920911,2.16553e-05,1
0,-5.4e-05,-1.50188e-05,468.544,0.00024048,9.87033e+06,0.11459,0.669539,0.715615,0.199031,1.13105e+06,2.92474e-05,1
0,-5.4e-05,-1.25156e-05,468.726,0.000246864,9.67296e+06,0.131164,0.68969,0.705406,0.163493,1.26874e+06,3.55688e-05,1
0,-5.4e-05,-1.00125e-05,468.876,0.000250854,9.55133e+06,0.141258,0.702524,0.699733,0.129742,1.3492e+06,3.97881e-05,1
0,-5.4e-05,-7.50939e-06,468.993,0.000252655,9.50588e+06,0.146331,0.709375,0.698113,0.0970815,1.39101e+06,4.1811e-05,1
0,-5.4e-05,-5.00626e-06,469.076,0.000253922,9.47354e+06,0.149854,0.714172,0.696982,0.0646161,1.41965e+06,4.32576e-05,1
0,-5.4e-05,-2.50313e-06,469.126,0.000254675,9.4542e+06,0.151929,0.717011,0.696314,0.0322771,1.43637e+06,4.41263e-05,1
0,-5.4e-05,0,469.143,0.000254924,9.44777e+06,0.152615,0.717952,0.696093,0,1.44187e+06,4.4416e-05,1
0,-5.2e-05,-2.75344e-05,467.696,0.000203062,1.07267e+07,0.0190497,0.529261,0.749828,0.39704,204340,3.7882e-06,1
0,-5.2e-05,-2.50313e-05,468.043,0.00022018,1.04132e+07,0.0512142,0.598543,0.721815,0.347461,533304,1.1132e-05,1
0,-5.2e-05,-2.25282e-05,468.358,0.000233479,1.00741e+07,0.0947259,0.646308,0.70019,0.303346,954276,2.27399e-05,1
0,-5.2e-05,-2.0025e-05,468.641,0.000243927,9.76498e+06,0.123709,0.680534,0.683767,0.263316,1.20801e+06,3.26076e-05,1
0,-5.2e-05,-1.75219e-05,468.89,0.00025107,9.5459e+06,0.141873,0.70335,0.673629,0.226986,1.3543e+06,4.00294e-05,1
0,-5.2e-05,-1.50188e-05,469.107,0.000254383,9.4617e+06,0.151127,0.715912,0.670773,0.193734,1.42992e+06,4.3789e-05,1
0,-5.2e-05,-1.25156e-05,469.29,0.000257104,9.39117e+06,0.158538,0.726129,0.668469,0.160891,1.48886e+06,4.69791e-05,1
0,-5.2e-05,-1.00125e-05,469.441,0.000259277,9.33407e+06,0.164339,0.734226,0.66666,0.128364,1.53395e+06,4.95971e-05,1
0,-5.2e-05,-7.50939e-06,469.558,0.000260934,9.2901e+06,0.168697,0.740368,0.6653,0.0960769,1.56722e+06,5.16389e-05,1
0,-5.2e-05,-5.00626e-06,469.642,0.0002621,9.25895e+06,0.171733,0.744676,0.664354,0.0639602,1.59007e+06,5.31004e-05,1
0,-5.2e-05,-2.50313e-06,469.692,0.000262793,9.24037e+06,0.173525,0.74723,0.663796,0.0319532,1.60343e+06,5.39787e-05,1
0,-5.2e-05,0,469.709,0.000263023,9.23419e+06,0.174117,0.748077,0.663612,0,1.60783e+06,5.42717e-05,1
0,-5e-05,-3.00375e-05,467.854,0.000211203,1.05971e+07,0.0166651,0.563346,0.708244,0.425478,176601,3.43707e-06,1
0,-5e-05,-2.75344e-05,468.235,0.000228491,1.02094e+07,0.0793627,0.628977,0.680993,0.375015,810247,1.83042e-05,1
0,-5e-05,-2.50313e-05,468.583,0.000241911,9.82697e+06,0.118426,0.674137,0.660464,0.330645,1.16376e+06,3.06281e-05,1
0,-5e-05,-2.25282e-05,468.899,0.000251215,9.54227e+06,0.142282,0.703901,0.647599,0.291784,1.35769e+06,4.01907e-05,1
0,-5e-05,-2.0025e-05,469.183,0.00025552,9.43238e+06,0.154243,0.72019,0.644044,0.25794,1.45488e+06,4.51098e-05,1
0,-5e-05,-1.75219e-05,469.433,0.000259171,9.33685e+06,0.164059,0.733834,0.641103,0.224667,1.5318e+06,4.94685e-05,1
0,-5e-05,-1.50188e-05,469.651,0.000262229,9.25548e+06,0.172068,0.745153,0.638702,0.19185,1.59258e+06,5.32638e-05,1
0,-5e-05,-1.25156e-05,469.835,0.000264743,9.18783e+06,0.178518,0.754394,0.636776,0.159393,1.64019e+06,5.64898e-05,1
0,-5e-05,-1.00125e-05,469.986,0.00026675,9.13337e+06,0.183588,0.761739,0.635271,0.127213,1.67678e+06,5.91396e-05,1
0,-5e-05,-7.50939e-06,470.104,0.000268281,9.09161e+06,0.187412,0.767326,0.634145,0.0952408,1.70388e+06,6.12071e-05,1
0,-5e-05,-5.00626e-06,470.188,0.000269359,9.06211e+06,0.190082,0.771251,0.633364,0.0634157,1.72254e+06,6.26873e-05,1
0,-5e-05,-2.50313e-06,470.238,0.000269999,9.04454e+06,0.191661,0.773581,0.632905,0.0316848,1.73348e+06,6.35769e-05,1
0,-5e-05,0,470.255,0.000270212,9.03871e+06,0.192183,0.774354,0.632753,0,1.73709e+06,6.38736e-05,1
0,-4.8e-05,-3.25407e-05,467.958,0.000216229,1.04992e+07,0.0365842,0.58336,0.672287,0.455764,384104,7.75826e-06,1
0,-4.8e-05,-3.00375e-05,468.372,0.000234025,1.00587e+07,0.0963451,0.648166,0.645523,0.403957,969108,2.32346e-05,1
0,-4.8e-05,-2.75344e-05,468.754,0.000247795,9.6434e+06,0.133469,0.692552,0.625728,0.358938,1.2871e+06,3.65276e-05,1
0,-4.8e-05,-2.50313e-05,469.104,0.000254343,9.46274e+06,0.151017,0.715761,0.619207,0.322907,1.42903e+06,4.37427e-05,1
0,-4.8e-05,-2.25282e-05,469.421,0.000258999,9.34139e+06,0.163604,0.733195,0.61559,0.288919,1.52829e+06,4.92593e-05,1
0,-4.8e-05,-2.0025e-05,469.706,0.000262986,9.23518e+06,0.174023,0.747942,0.612592,0.255566,1.60713e+06,5.42248e-05,1
0,-4.8e-05,-1.75219e-05,469.957,0.00026637,9.1437e+06,0.182634,0.760351,0.610132,0.222722,1.66995e+06,5.86329e-05,1
0,-4.8e-05,-1.50188e-05,470.176,0.000269204,9.06633e+06,0.189701,0.77069,0.608136,0.19028,1.7199e+06,6.24745e-05,1
0,-4.8e-05,-1.25156e-05,470.361,0.000271535,9.00234e+06,0.195421,0.77916,0.606546,0.158152,1.75925e+06,6.57403e-05,1
0,-4.8e-05,-1.00125e-05,470.512,0.000273396,8.95103e+06,0.199937,0.785912,0.60531,0.126264,1.78964e+06,6.84224e-05,1
0,-4.8e-05,-7.50939e-06,470.63,0.000274817,8.9118e+06,0.203353,0.791059,0.604388,0.0945538,1.81224e+06,7.05146e-05,1
0,-4.8e-05,-5.00626e-06,470.715,0.000275817,8.88414e+06,0.205744,0.794682,0.603751,0.0629695,1.82786e+06,7.20121e-05,1
0,-4.8e-05,-2.50313e-06,470.765,0.000276412,8.86769e+06,0.20716,0.796835,0.603377,0.0314652,1.83703e+06,7.29118e-05,1
0,-4.8e-05,0,470.782,0.000276609,8.86223e+06,0.207629,0.797549,0.603254,0,1.84005e+06,7.32119e-05,1
0,-4.6e-05,-3.50438e-05,468.008,0.000218549,1.04496e+07,0.045278,0.592332,0.6409,0.488252,473138,9.7392e-06,1
0,-4.6e-05,-3.25407e-05,468.455,0.000237213,9.96724e+06,0.105555,0.658853,0.614141,0.434447,1.05209e+06,2.6163e-05,1
0,-4.6e-05,-3.00375e-05,468.871,0.000250771,9.55342e+06,0.141022,0.702207,0.596133,0.389269,1.34725e+06,3.96957e-05,1
0,-4.6e-05,-2.75344e-05,469.254,0.000256577,9.40492e+06,0.157115,0.724156,0.59173,0.354194,1.47765e+06,4.63533e-05,1
